"","sampleSize","contamination","rate","bias_rate_Before","bias_rate_Q_b_F_C","bias_rate_Mean","bias_rate_Median","bias_rate_Mode","MSE_rate_Before","MSE_rate_Q_b_F_C","MSE_rate_Mean","MSE_rate_Median","MSE_rate_Mode","above05_Before_P_value","above05_Q_b_F_C","above05_Mean","above05_Median","above05_Mode"
"1",20,5,0.5,0.358901486849398,0.0690955076153662,0.0772559818633657,0.0924951338749828,0.115384383476452,0.129805465158858,0.01671454100199,0.0326513987794393,0.0369705067475505,0.0452862940214966,0,0.999,1,0.996,0.984
"2",50,5,0.5,0.30919093922827,0.039452817013046,0.0802398674386506,0.0930712388872477,0.116232020765786,0.0962433503177736,0.00662790566771707,0.0179354501311983,0.021077884456653,0.0277975098601596,0,1,1,1,0.997
"3",100,5,0.5,0.335426651871091,0.0450603403560092,0.0697570221996412,0.0824948264910693,0.10719770477895,0.112807472581576,0.00436129610051826,0.010074103554986,0.0124828403301238,0.0181154363154164,0,1,1,1,1
"4",200,5,0.5,0.329431808247887,0.0425733550943558,0.0664473757977032,0.0784556392653544,0.104088299182303,0.108700197038686,0.00289891477092639,0.00673525582317593,0.00867849941855547,0.0137853729743111,0,1,1,1,1
"5",20,10,0.5,0.38240749000118,0.129659280439617,0.0554828451133349,0.0760855438953077,0.105914862278833,0.14693023436088,0.0250049394977653,0.0240953545279127,0.0288439694458169,0.0376323524979874,0,0.997,0.998,0.986,0.964
"6",50,10,0.5,0.375924704361351,0.107537731286367,0.0518991399496433,0.0697718125050164,0.102662082125482,0.141641545364932,0.0155246070741937,0.0117882603683939,0.0146207458641672,0.0222720318730436,0,0.998,0.999,0.996,0.984
"7",100,10,0.5,0.374756083829305,0.102054154912011,0.0511932652991827,0.0687557088333642,0.10341604482987,0.140620390147824,0.0122454479445647,0.00678492543605811,0.00924052734290622,0.0161057256061873,0,0.998,1,1,0.998
"8",200,10,0.5,0.37388877046733,0.100686827777718,0.0465036591194357,0.0633725937102634,0.0982486933525927,0.139879497288935,0.0110717134973251,0.00424338044167834,0.00628425905165576,0.012364857095496,0,1,1,1,0.997
"9",20,15,0.5,0.395113618909865,0.178908894405918,0.0384406138748117,0.0642096069056429,0.100498596845412,0.156670017906112,0.0384731585838462,0.0181758143029726,0.0224980236154334,0.0316494775622783,0.002,0.994,0.994,0.968,0.92
"10",50,15,0.5,0.379922735912413,0.150504993315746,0.0416778366100068,0.0647579849414891,0.103292624712307,0.144619112849174,0.0257713745800464,0.00989000661393187,0.0131749833402964,0.0215991617239852,0,0.992,1,0.99,0.951
"11",100,15,0.5,0.393404808012556,0.158505718907341,0.0302209042956464,0.0527148737159951,0.0958384664954791,0.154880758759691,0.0264646521996551,0.00435859742593128,0.00660229669229544,0.0139338524671674,0,0.988,0.999,0.995,0.945
"12",200,15,0.5,0.392782296032224,0.156260858360821,0.0287294752843258,0.0508195421085713,0.0948886378392615,0.154333775379689,0.025167803760997,0.00273097352804536,0.0046683162306478,0.0116140902512167,0,0.982,1,0.999,0.944
