"","id","outliersPro","estimated_rate_Before_Handling","estimated_rate_After_Q_b_F_C","estimated_rate_After_mean","estimated_rate_After_median","Before_P_value","Q_b_F_C_P_value","mean_P_value","median_P_value"
"1",71,0.140018066847335,1.31599456611485,2.26220053813031,3.95972343072315,4.47305360919547,0,0,0,0
"2",96,0.0641646489104116,0.443950734806862,0.499565212197409,0.623202540384701,0.647973439928251,0,0,0,0
"3",103,0.00630630630630631,0.29630787667215,0.2973951060299,0.302481694347621,0.302801390952507,1,1,1,1
"4",106,0.00589390962671906,0.511426718222364,0.514657731492454,0.52377307384397,0.524748502517774,0.4035,0.5785,0.662,0.6375
"5",109,0.15473032714412,1.30934995650253,3.78147890222467,6.25777691988673,6.82957652042074,0,0,0.997,0
"6",118,0.029029029029029,0.429210981686273,0.44328630322808,0.487612010567755,0.49394521051317,0,0,0,0
"7",120,0.0575953923686105,0.359100158488862,0.384541374919859,0.474184592985886,0.492212735873973,0,0,0,0
"8",188,0.0457063711911357,0.358381699901641,0.377177244971991,0.438582494225317,0.448520762198124,0,0,0,0
"9",191,0.00161290322580645,0.125110703807502,0.125152246157332,0.12562445680467,0.125660391496748,1,1,1,1
"10",211,0.0176211453744493,0.344871167489892,0.3489154748517,0.366937921892576,0.368941714285695,0.1745,0.315,0.483,0.4245
"11",232,0.0390625,0.590165450180475,0.604797828489439,0.673344863279501,0.678830021332686,0.462,0.839,0.987,0.9705
"12",236,0.0188866799204771,0.558690505540003,0.563928979133793,0.593478158353063,0.597483272281807,0.1935,0.4125,0.6015,0.4925
"13",240,0.118207816968541,0.647384557495837,0.825930871565919,1.27762480090017,1.37702845595135,0,0,0,0
"14",255,0.0697305863708399,0.593617231839862,0.649930355821422,0.801227953304758,0.822757402495602,0,0.0015,0.3505,0.0475
"15",258,0.0791855203619909,0.734797690640007,0.782424854766257,0.960359281146112,0.982028840491912,0.111,0.8315,0.9975,0.991
"16",264,0.0916271721958926,0.766521943370217,0.834672119610564,1.13439263297057,1.19696251281496,0,0,0,0
"17",306,0.150866462793068,1.38887795668932,3.73876897229326,6.85955834357181,7.55643892483635,0,0,0,0
"18",319,0.0761570005858231,0.82739021120541,0.910821416844189,1.13442197290059,1.16709148737561,0,0.06,0.8915,0.4305
"19",321,0.020066889632107,0.710872303499625,0.721176068533467,0.759927577510086,0.764256859842488,0.8115,0.939,0.9785,0.98
"20",326,0.0362215909090909,0.528648533714174,0.547573058629151,0.60372982387774,0.609617499795241,0.0385,0.87,0.9975,0.993
"21",332,0.0558441558441558,0.55169152212977,0.570176766304452,0.666852325055996,0.68166375853512,0.0055,0.1175,0.5065,0.2305
